what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1334857124871
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857127325
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1334857129963
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857148411
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857149853
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857151550
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857163288
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857163654
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857163676
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857166096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857170674
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857170932
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857171848
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857174093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1334857179377
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1334857181589
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857188316
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857189310
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857199924
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857200165
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857200509
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857200805
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857201179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857201548
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857206930
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857270526
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857627054
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857633535
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857634668
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857635480
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857660340
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857667051
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857667704
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857669793
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857675739
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1334857676044
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857677221
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857680395
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857680493
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1334857681803
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857685290
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857692766
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857694750
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1334857698658
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1334857698761
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1334857698860
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1334857699141
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1334857699193
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857699794
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1334857699806
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857705603
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857709055
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857709055
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857730614
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857731951
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857734422
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857741801
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857742983
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857745247
error,log,,,"/Agent/src/test/ActDFBilgiGonder.java already exists in target",1334857746353
error,log,,,"/Agent/src/test/ActDFBilgiGonder.java already exists in target",1334857746355
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857746403
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1334857746420
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857748590
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857753287
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857763810
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857763843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857766658
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857778767
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857779605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857779985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857781875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857781891
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857782606
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857783258
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857783509
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857784474
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857784924
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857798371
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857798405
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857800583
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1334857801247
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1334857802660
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857803669
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857812287
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857812323
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857813403
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857814404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857816137
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857816152
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857819598
error,log,,,"(Build 3.0.0.1313451701) [ERROR]  Launch configuration Test at file:/D:/Workspaces/workspaceAgent/.metadata/.plugins/org.eclipse.debug.core/.launches/Test.launch does not exist.",1334857822364
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857822393
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857822432
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857822470
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857822529
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857822573
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1334857822582
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1334857825528
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857830614
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857830630
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857839585
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857839722
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857841177
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857844774
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857849868
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857851036
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857851792
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857852945
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857862582
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857862620
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1334857863152
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857867806
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857874851
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857875567
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857875591
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857879291
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857879571
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857888959
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857889073
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1334857890128
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857892024
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334857892136
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857920346
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1334857938122
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857939378
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857947597
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334857952951
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857953189
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857953212
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334857957913
